Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Root	Sp7(11)	647	Shared (Strict)	yes	Sp7(11)
Root	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Root	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Root	Sp7(1)	661	Shared (Strict)	yes	Sp7(1)
Root	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Root	Sp7(8)	670	Shared (Strict)	yes	Sp7(8)
Root	Sp7(3)	423	Shared (Strict)	yes	Sp7(3)
Root	Sp7(15)	617	Nested (Strict)	yes	Sp7(15)
Root	Sp18(9)	880	Nested (Strict)	yes	Sp18(9)
Root	Sp16(9)	831	Nested (Strict)	yes	Sp16(9)
Root	Sp16(3)	235	Outgroup-Arbitrated-Nested	yes	Sp16(3)
Root	Sp9(1)+Sp9(2)_residual	912	Root-Anchored-Residual	yes	Sp9(1)+Sp9(2)_residual
Anc1	Sp7(5)	1147	Shared (Strict)	no	
Anc1	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc1	Sp7(11)	647	Shared (Strict)	yes	Sp7(11)
Anc1	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc1	Sp9(9)	1711	Shared (Strict)	no	
Anc1	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Anc1	Sp7(1)	661	Shared (Strict)	yes	Sp7(1)
Anc1	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Anc1	Sp7(8)	670	Shared (Strict)	yes	Sp7(8)
Anc1	Sp7(3)	423	Nested (Strict)	yes	Sp7(3)
Anc1	Sp7(15)	617	Cleaned-Merge	yes	Sp7(15)
Anc3	Sp7(5)	1147	Shared (Strict)	no	
Anc3	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc3	Sp7(11)	647	Shared (Strict)	yes	Sp7(11)
Anc3	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc3	Sp9(9)	1711	Shared (Strict)	no	
Anc3	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Anc3	Sp7(1)	661	Nested (Strict)	yes	Sp7(1)
Anc3	Sp11(2)	886	Cleaned-Merge	no	
Anc3	Sp11(6)	824	Cleaned-Merge	no	
Anc7	Sp7(5)	1147	Shared (Strict)	no	
Anc7	Sp11(2)	886	Shared (Strict)	no	
Anc7	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc7	Sp7(11)	647	Shared (Strict)	yes	Sp7(11)
Anc7	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc7	Sp11(6)	824	Shared (Strict)	no	
Anc7	Sp11(7)	958	Shared (Strict)	no	
Anc7	Sp9(9)	1711	Shared (Strict)	no	
Anc7	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Anc8	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc8	Sp2(2)	1040	Shared (Strict)	no	
Anc8	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Anc8	Sp9(9)	1711	Shared (Strict)	no	
Anc8	Sp1(8)	546	Nested (Strict)	yes	Sp1(8)
Anc8	Sp10(3)	1043	Cleaned-Merge	no	
Anc8	Sp10(5)	274	Cleaned-Merge	no	
Anc8	Sp9(1)	1746	Cleaned-Merge	no	
Anc8	Sp9(2)	62	Cleaned-Merge	no	
Anc4	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc4	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc4	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Anc4	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Anc4	Sp7(8)	670	Shared (Strict)	yes	Sp7(8)
Anc4	Sp9(9)	1711	Shared (Strict)	no	
Anc4	Sp7(1)	661	Shared (Strict)	yes	Sp7(1)
Anc4	Sp7(5)	1147	Shared (Strict)	no	
Anc4	Sp7(15)	617	Nested (Strict)	yes	Sp7(15)
Anc4	Sp7(3)	423	Cleaned-Merge	yes	Sp7(3)
Anc4	Sp7(11)	647	Cleaned-Merge	yes	Sp7(11)
Anc10	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc10	Sp2(2)	1040	Shared (Strict)	no	
Anc10	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc10	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Anc10	Sp1(8)	546	Shared (Strict)	yes	Sp1(8)
Anc10	Sp7(8)	670	Nested (Strict)	yes	Sp7(8)
Anc10	Sp1(1)	621	Cleaned-Merge	no	
Anc10	Sp1(4)	687	Cleaned-Merge	no	
Anc15	Sp9(4)	828	Shared (Strict)	yes	Sp9(4)
Anc15	Sp1(4)	687	Shared (Strict)	no	
Anc15	Sp2(2)	1040	Shared (Strict)	no	
Anc15	Sp2(6)	409	Shared (Strict)	yes	Sp2(6)
Anc15	Sp9(8)	297	Shared (Strict)	yes	Sp9(8)
Anc15	Sp9(9)	1711	Shared (Strict)	no	
Anc15	Sp1(1)	621	Nested (Strict)	no	
