Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp7(2)	806	Shared (Strict)	yes	Sp7(2)
Root	Sp8(4)	945	Shared (Strict)	yes	Sp8(4)
Root	Sp7(9)	349	Shared (Strict)	yes	Sp7(9)
Root	Sp9(10)	580	Shared (Strict)	yes	Sp9(10)
Root	Sp15(15)	437	Shared (Strict)	yes	Sp15(15)
Root	Sp5(16)	270	Shared (Strict)	yes	Sp5(16)
Root	Sp8(14)	791	Shared (Strict)	yes	Sp8(14)
Root	Sp7(7)	721	Shared (Strict)	yes	Sp7(7)
Root	Sp7(3)	865	Shared (Strict)	yes	Sp7(3)
Root	Sp2(9)	837	Shared (Strict)	yes	Sp2(9)
Root	Sp15(7)	213	Shared (Strict)	yes	Sp15(7)
Root	Sp9(1)	859	Shared (Strict)	yes	Sp9(1)
Root	Sp5(2)	577	Shared (Strict)	yes	Sp5(2)
Root	Sp7(15)	548	Shared (Strict)	yes	Sp7(15)
Root	Sp15(17)	666	Nested (Strict)	yes	Sp15(17)
Root	Sp15(10)	542	Nested (Strict)	yes	Sp15(10)
Root	Sp16(9)	693	Fusion-Outgroup-Validated	yes	Sp16(9)
Root	Sp13(15)	981	Fusion-Outgroup-Validated	yes	Sp13(15)
Root	Sp15(12)	371	Fusion-Outgroup-Rejected-RCT	yes	Sp15(12)
Root	Sp9(5)	612	Fusion-Outgroup-Validated	yes	Sp9(5)
Root	Sp7(16):1-163,830-1135	469	Fusion-Outgroup-Validated	yes	Sp7(16):1-163,830-1135
Anc1	Sp7(2)	806	Shared (Strict)	yes	Sp7(2)
Anc1	Sp8(4)	945	Shared (Strict)	yes	Sp8(4)
Anc1	Sp15(6)	566	Shared (Strict)	no	
Anc1	Sp7(9)	349	Shared (Strict)	yes	Sp7(9)
Anc1	Sp15(10)	542	Shared (Strict)	yes	Sp15(10)
Anc1	Sp9(10)	580	Shared (Strict)	yes	Sp9(10)
Anc1	Sp15(12)	371	Shared (Strict)	yes	Sp15(12)
