Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp9(2)	277	Shared (Strict)	yes	Sp9(2)
Root	Sp7(9)	166	Shared (Strict)	yes	Sp7(9)
Root	Sp17(9)	343	Shared (Strict)	yes	Sp17(9)
Root	Sp9(5)	417	Shared (Strict)	yes	Sp9(5)
Root	Sp7(27)	928	Shared (Strict)	yes	Sp7(27)
Root	Sp9(10)	291	Shared (Strict)	yes	Sp9(10)
Root	Sp16(7)	934	Nested (Strict)	yes	Sp16(7)
Root	Sp16(1)	689	Nested (Strict)	yes	Sp16(1)
Root	Sp9(6)	786	Fusion-Outgroup-Validated	yes	Sp9(6)
Root	Sp9(9)	620	RCT-Residual-Validated	yes	Sp9(9)
Root	Sp16(18)	275	Fusion-Outgroup-Validated	yes	Sp16(18)
Root	Sp16(11)	575	Missing-Family-Rescue	yes	Sp16(11)
Anc2	Sp7(9)	166	Shared (Strict)	yes	Sp7(9)
Anc2	Sp9(5)	417	Shared (Strict)	yes	Sp9(5)
Anc2	Sp9(6)	786	Shared (Strict)	yes	Sp9(6)
Anc2	Sp7(27)	928	Shared (Strict)	yes	Sp7(27)
Anc2	Sp9(8)	519	Shared (Strict)	no	
Anc2	Sp9(9)	620	Shared (Strict)	yes	Sp9(9)
Anc2	Sp9(10)	291	Shared (Strict)	yes	Sp9(10)
Anc2	Sp9(2)	277	Shared (Strict)	yes	Sp9(2)
Anc2	Sp17(9)	343	Cleaned-Merge	yes	Sp17(9)
Anc2	Sp12(9)	331	Cleaned-Merge	no	
Anc2	Sp16(1)	689	Cleaned-Merge	yes	Sp16(1)
Anc6	Sp9(2)	277	Shared (Strict)	yes	Sp9(2)
Anc6	Sp9(4)	1045	Shared (Strict)	no	
Anc6	Sp9(6)	786	Shared (Strict)	yes	Sp9(6)
Anc6	Sp9(8)	519	Shared (Strict)	no	
Anc6	Sp9(10)	291	Shared (Strict)	yes	Sp9(10)
Anc6	Sp9(5)	417	Shared (Strict)	yes	Sp9(5)
