Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Root	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Root	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Root	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Root	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Root	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Root	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Root	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Root	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Root	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Root	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Root	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Root	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Root	Sp4(15)	792	Nested (Strict)	yes	Sp4(15)
Root	Sp4(14)	329	Cleaned-Merge	yes	Sp4(14)
Anc1	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc1	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc1	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc1	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc1	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc1	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc1	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc1	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc1	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc1	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc1	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc1	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc1	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc1	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc1	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc3	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc3	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc3	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc3	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc3	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc3	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc3	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc3	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc3	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc3	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc3	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc3	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc3	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc3	Sp4(5)	732	Cleaned-Merge	no	
Anc3	Sp4(8)	604	Cleaned-Merge	no	
Anc7	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc7	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc7	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc7	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc7	Sp4(5)	732	Shared (Strict)	no	
Anc7	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc7	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc7	Sp4(8)	604	Shared (Strict)	no	
Anc7	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc7	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc7	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc7	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc7	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc7	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc7	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc4	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc4	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc4	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc4	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc4	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc4	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc4	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc4	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc4	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc4	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc4	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc4	Sp4(9)	885	Nested (Strict)	yes	Sp4(9)
Anc4	Sp14(1)	948	Cleaned-Merge	no	
Anc4	Sp14(2)	637	Cleaned-Merge	no	
Anc8	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc8	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc8	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc8	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc8	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc8	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc8	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc8	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc8	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc8	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc8	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc8	Sp4(1)	609	Nested (Strict)	yes	Sp4(1)
Anc8	Sp3(2)	840	Cleaned-Merge	no	
Anc8	Sp3(9)	573	Cleaned-Merge	no	
Anc13	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc13	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc13	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc13	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc13	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc13	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc13	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc13	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc13	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc13	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc13	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc13	Sp1(5)	752	Nested (Strict)	yes	Sp1(5)
Anc13	Sp4(2)	976	Nested (Strict)	yes	Sp4(2)
Anc9	Sp14(1)	948	Shared (Strict)	no	
Anc9	Sp14(2)	637	Shared (Strict)	no	
Anc9	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc9	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc9	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc9	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc9	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc9	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc9	Sp14(9)	1309	Shared (Strict)	no	
Anc9	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc9	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc9	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc9	Sp4(14)	329	Shared (Strict)	yes	Sp4(14)
Anc9	Sp4(15)	792	Shared (Strict)	yes	Sp4(15)
Anc2	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc2	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc2	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc2	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc2	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc2	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc2	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc2	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc2	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc2	Sp9(12)	1121	Shared (Strict)	no	
Anc2	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc2	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc2	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc2	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc5	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc5	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc5	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc5	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc5	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc5	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc5	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc5	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc5	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc5	Sp9(12)	1121	Shared (Strict)	no	
Anc5	Sp1(9)	437	Nested (Strict)	yes	Sp1(9)
Anc5	Sp13(5)	619	Cleaned-Merge	no	
Anc5	Sp13(11)	320	Cleaned-Merge	no	
Anc10	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc10	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc10	Sp7(3)	809	Shared (Strict)	no	
Anc10	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc10	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc10	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc10	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc10	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc10	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc10	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc10	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc10	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc10	Sp9(12)	1121	Shared (Strict)	no	
Anc6	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc6	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc6	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc6	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc6	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc6	Sp9(12)	1121	Shared (Strict)	no	
Anc6	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc6	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc6	Sp4(12)	651	Shared (Strict)	yes	Sp4(12)
Anc6	Sp1(9)	437	Nested (Strict)	yes	Sp1(9)
Anc6	Sp4(1)	609	Nested (Strict)	yes	Sp4(1)
Anc6	Sp9(1):610-1363	754	Cleaned-Merge	no	
Anc6	Sp10(7)	582	Cleaned-Merge	no	
Anc11	Sp9(1)	1363	Shared (Strict)	no	
Anc11	Sp4(3)	372	Shared (Strict)	yes	Sp4(3)
Anc11	Sp4(4)	472	Shared (Strict)	yes	Sp4(4)
Anc11	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc11	Sp4(9)	885	Shared (Strict)	yes	Sp4(9)
Anc11	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc11	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc11	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc11	Sp9(12)	1121	Shared (Strict)	no	
Anc11	Sp10(7)	582	Nested (Strict)	no	
Anc11	Sp9(2)	585	Cleaned-Merge	no	
Anc11	Sp9(6)	1200	Cleaned-Merge	no	
Anc12	Sp4(1)	609	Shared (Strict)	yes	Sp4(1)
Anc12	Sp4(2)	976	Shared (Strict)	yes	Sp4(2)
Anc12	Sp7(3)	809	Shared (Strict)	no	
Anc12	Sp1(5)	752	Shared (Strict)	yes	Sp1(5)
Anc12	Sp4(6)	348	Shared (Strict)	yes	Sp4(6)
Anc12	Sp4(7)	809	Shared (Strict)	yes	Sp4(7)
Anc12	Sp1(8)	584	Shared (Strict)	yes	Sp1(8)
Anc12	Sp9(9)	187	Shared (Strict)	yes	Sp9(9)
Anc12	Sp4(13)	424	Shared (Strict)	yes	Sp4(13)
Anc12	Sp9(12)	1121	Shared (Strict)	no	
Anc12	Sp4(12)	651	Nested (Strict)	yes	Sp4(12)
Anc12	Sp7(4):1-754	754	Cleaned-Merge	no	
Anc12	Sp7(9)	603	Cleaned-Merge	no	
