Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Root	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Root	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Root	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Root	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Root	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Root	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Root	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Root	Sp19(10)	187	Shared (Strict)	yes	Sp19(10)
Root	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Root	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Root	Sp1(9)	437	Fusion-Outgroup-Rejected-RCT	yes	Sp1(9)
Root	Sp20(6)	348	Fusion-Outgroup-Rejected-RCT	yes	Sp20(6)
Anc1	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc1	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc1	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc1	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc1	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc1	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc1	Sp8(6)	529	Shared (Strict)	no	
Anc1	Sp8(13)	424	Nested (Strict)	yes	Sp8(13)
Anc3	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc3	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc3	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc3	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Anc3	Sp12(5)	1417	Shared (Strict)	no	
Anc3	Sp12(7)	144	Shared (Strict)	no	
Anc3	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc3	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc3	Sp8(9)	885	Nested (Strict)	yes	Sp8(9)
Anc7	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc7	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc7	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc7	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Anc7	Sp12(5)	1417	Shared (Strict)	no	
Anc7	Sp12(6)	1414	Shared (Strict)	no	
Anc7	Sp12(7)	144	Shared (Strict)	no	
Anc7	Sp12(9)	680	Shared (Strict)	no	
Anc7	Sp19(10)	187	Shared (Strict)	yes	Sp19(10)
Anc7	Sp8(12)	651	Nested (Strict)	yes	Sp8(12)
Anc4	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc4	Sp8(4)	273	Shared (Strict)	no	
Anc4	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc4	Sp8(6)	529	Shared (Strict)	no	
Anc4	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc4	Sp8(11)	386	Shared (Strict)	no	
Anc4	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc4	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc4	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc4	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc4	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc4	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc4	Sp9(9)	256	Shared (Strict)	no	
Anc8	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc8	Sp8(4)	273	Shared (Strict)	no	
Anc8	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc8	Sp8(6)	529	Shared (Strict)	no	
Anc8	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc8	Sp8(11)	386	Shared (Strict)	no	
Anc8	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc8	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc8	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc8	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc8	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc8	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc8	Sp9(9)	256	Shared (Strict)	no	
Anc14	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc14	Sp8(4)	273	Shared (Strict)	no	
Anc14	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc14	Sp8(6)	529	Shared (Strict)	no	
Anc14	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc14	Sp8(11)	386	Shared (Strict)	no	
Anc14	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc14	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc14	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc14	Sp8(2)	976	Nested (Strict)	yes	Sp8(2)
Anc14	Sp8(13)	424	Nested (Strict)	yes	Sp8(13)
Anc18	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc18	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc18	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc18	Sp8(4)	273	Shared (Strict)	no	
Anc18	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc18	Sp8(6)	529	Shared (Strict)	no	
Anc18	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc18	Sp9(9)	256	Shared (Strict)	no	
Anc18	Sp8(11)	386	Shared (Strict)	no	
Anc18	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc18	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc18	Sp8(8)	584	Nested (Strict)	yes	Sp8(8)
Anc9	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc9	Sp8(4)	273	Shared (Strict)	no	
Anc9	Sp8(6)	529	Shared (Strict)	no	
Anc9	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc9	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc9	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc9	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc9	Sp8(11)	386	Shared (Strict)	no	
Anc9	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc9	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc9	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc9	Sp8(1)	609	Nested (Strict)	yes	Sp8(1)
Anc15	Sp6(1)	865	Shared (Strict)	no	
Anc15	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc15	Sp8(4)	273	Shared (Strict)	no	
Anc15	Sp8(6)	529	Shared (Strict)	no	
Anc15	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc15	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc15	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc15	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc16	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc16	Sp8(2)	976	Shared (Strict)	yes	Sp8(2)
Anc16	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc16	Sp8(4)	273	Shared (Strict)	no	
Anc16	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc16	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc16	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc16	Sp9(9)	256	Shared (Strict)	no	
Anc16	Sp8(11)	386	Shared (Strict)	no	
Anc16	Sp8(12)	651	Shared (Strict)	yes	Sp8(12)
Anc16	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc16	Sp8(5)	752	Nested (Strict)	yes	Sp8(5)
Anc2	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc2	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc2	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Anc2	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc2	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc2	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc2	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc2	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc2	Sp8(7)	809	Shared (Strict)	yes	Sp8(7)
Anc2	Sp19(10)	187	Shared (Strict)	yes	Sp19(10)
Anc2	Sp20(6)	348	Shared (Strict)	yes	Sp20(6)
Anc5	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc5	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc5	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Anc5	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc5	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc5	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc5	Sp1(11)	588	Shared (Strict)	no	
Anc5	Sp8(13)	424	Shared (Strict)	yes	Sp8(13)
Anc5	Sp8(8)	584	Shared (Strict)	yes	Sp8(8)
Anc5	Sp8(7)	809	Nested (Strict)	yes	Sp8(7)
Anc10	Sp8(1)	609	Shared (Strict)	yes	Sp8(1)
Anc10	Sp8(3)	372	Shared (Strict)	yes	Sp8(3)
Anc10	Sp1(4)	472	Shared (Strict)	yes	Sp1(4)
Anc10	Sp8(5)	752	Shared (Strict)	yes	Sp8(5)
Anc10	Sp1(6)	527	Shared (Strict)	no	
Anc10	Sp8(9)	885	Shared (Strict)	yes	Sp8(9)
Anc10	Sp1(9)	437	Shared (Strict)	yes	Sp1(9)
Anc10	Sp3(9)	996	Shared (Strict)	no	
Anc10	Sp1(11)	588	Shared (Strict)	no	
