Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Anc6	Sp12(4)	818	Shared (Strict)	yes	Sp12(4)
Anc6	Sp10(4)	982	Shared (Strict)	yes	Sp10(4)
Anc6	Sp6(5)	330	Shared (Strict)	yes	Sp6(5)
Anc6	Sp16(3)	873	Nested (Strict)	no	
Anc10	Sp7(1)	518	Shared (Strict)	yes	Sp7(1)
Anc10	Sp18(2)	632	Shared (Strict)	yes	Sp18(2)
Anc10	Sp1(7)	280	Shared (Strict)	yes	Sp1(7)
Anc10	Sp3(6)	488	Shared (Strict)	yes	Sp3(6)
Anc10	Sp19(9)	396	Shared (Strict)	yes	Sp19(9)
Anc10	Sp17(9)	129	Shared (Strict)	yes	Sp17(9)
Anc10	Sp12(11)	134	Shared (Strict)	no	
Anc10	Sp12(4)	818	Nested (Strict)	yes	Sp12(4)
Anc10	Sp10(4)	982	Nested (Strict)	yes	Sp10(4)
