Node	Type	Chromosomes	Position	Details
--------------------------------------------------------------------------------
Anc1      	Inversion      	G              	448-580             	Inverted
Anc1      	NCF            	H, C           	H:73                	Inserted donor=C into recipient=H; donor_orient=HT
Anc3      	Inversion      	D              	150-200             	Inverted
Anc3      	RCT            	D, B           	D:712|B:130         	Swapped tails; pairing=AL-BR/BL-AR
Anc3      	NCF            	D, F           	D:269               	Inserted donor=F into recipient=D; donor_orient=HT
Sp17      	Inversion      	B              	15-74               	Inverted
Sp17      	RCT            	B, D           	B:79|D:492          	Swapped tails; pairing=AL-BR/BL-AR
Anc6      	RCT            	A, D           	A:89|D:756          	Swapped tails; pairing=AL-BR/BL-AR
Anc6      	NCF            	H, G           	H:158               	Inserted donor=G into recipient=H; donor_orient=HT
Sp16      	Inversion      	B              	142-272             	Inverted
Sp16      	RCT            	E, B           	E:141|B:213         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Anc9_preWGD	PreWGD         	A, B, D, E, H  	Before WGD          	Split to Anc9
Anc9_preWGD	Inversion      	H              	723-1038            	Inverted
Anc9_preWGD	NCF            	E, D           	E:65                	Inserted donor=D into recipient=E; donor_orient=TH
Anc9      	WGD            	A, B, E, H     	Doubled             	4->8
Anc9      	Inversion      	B_2            	13-200              	Inverted
Anc9      	RCT            	B_2, E_1       	B_2:134|E_1:913     	Swapped tails; pairing=AL-BR/BL-AR
Anc9      	NCF            	A_1, E_1       	A_1:128             	Inserted donor=E_1 into recipient=A_1; donor_orient=HT
Sp15      	Inversion      	E_2            	1125-1479           	Inverted
Sp15      	NCF            	B_1, E_2       	B_1:285             	Inserted donor=E_2 into recipient=B_1; donor_orient=TH
Anc11     	Inversion      	H_2            	280-955             	Inverted
Anc11     	NCF            	H_1, E_2       	H_1:249             	Inserted donor=E_2 into recipient=H_1; donor_orient=HT
Sp14      	Inversion      	B_2            	245-810             	Inverted
Anc12     	Inversion      	H_2            	151-1312            	Inverted
Anc12     	NCF            	B_1, A_1       	B_1:106             	Inserted donor=A_1 into recipient=B_1; donor_orient=HT
Sp13      	Inversion      	H_1            	444-2240            	Inverted
Sp13      	RCT            	B_2, A_2       	B_2:124|A_2:141     	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Sp13      	NCF            	H_2, B_2       	H_2:795             	Inserted donor=B_2 into recipient=H_2; donor_orient=HT
Anc13_preWGD	PreWGD         	A_2, B_1, B_2, H_1, H_2	Before WGD          	Split to Anc13
Anc13_preWGD	Inversion      	H_2            	1010-1175           	Inverted
Anc13_preWGD	RCT            	B_1, B_2       	B_1:1368|B_2:668    	Swapped tails; pairing=AL-BR/BL-AR
Anc13     	WGD            	A_2, B_1, B_2, H_1, H_2	Doubled             	5->10
Anc13     	Inversion      	H_1_1          	221-569             	Inverted
Anc13     	NCF            	B_1_1, H_2_2   	B_1_1:1647          	Inserted donor=H_2_2 into recipient=B_1_1; donor_orient=HT
Sp12      	Inversion      	H_1_1          	958-1113            	Inverted
Sp12      	RCT            	A_2_2, B_2_2   	A_2_2:120|B_2_2:383 	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Anc14_preWGD	PreWGD         	A_2_1, A_2_2, B_1_1, B_1_2, B_2_1, B_2_2, H_1_1, H_1_2, H_2_1	Before WGD          	Split to Anc14
Anc14_preWGD	Inversion      	B_2_1          	24-794              	Inverted
Anc14_preWGD	RCT            	B_1_2, B_1_1   	B_1_2:1000|B_1_1:1214	Swapped tails; pairing=AL-BR/BL-AR
Anc14_preWGD	NCF            	B_2_1, H_1_1   	B_2_1:103           	Inserted donor=H_1_1 into recipient=B_2_1; donor_orient=HT
Anc14     	WGD            	A_2_1, A_2_2, B_1_1, B_1_2, B_2_1, B_2_2, H_1_2, H_2_1	Doubled             	8->16
