Node	Type	Chromosomes	Position	Details
--------------------------------------------------------------------------------
Anc1      	Inversion      	D              	56-350              	Inverted
Anc1      	RCT            	T, F           	T:101|F:198         	Swapped tails; pairing=AL-BR/BL-AR
Anc3      	Inversion      	Q              	65-359              	Inverted
Anc3      	RCT            	R, A           	R:153|A:608         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Anc3      	NCF            	B, N           	B:489               	Inserted donor=N into recipient=B; donor_orient=HT
Sp16      	Inversion      	C              	204-433             	Inverted
Sp16      	RCT            	O, D           	O:917|D:760         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Sp16      	NCF            	O, P           	O:67                	Inserted donor=P into recipient=O; donor_orient=HT
Sp15      	Inversion      	H              	93-364              	Inverted
Sp15      	RCT            	I, T           	I:587|T:250         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Sp15      	NCF            	O, H           	O:390               	Inserted donor=H into recipient=O; donor_orient=HT
Anc4      	Inversion      	Q              	51-397              	Inverted
Anc4      	RCT            	G, S           	G:66|S:612          	Swapped tails; pairing=AL-BR/BL-AR
Sp14      	Inversion      	D              	125-802             	Inverted
Sp14      	RCT            	I, S           	I:188|S:357         	Swapped tails; pairing=AL-BR/BL-AR
Sp14      	NCF            	P, J           	P:438               	Inserted donor=J into recipient=P; donor_orient=HT
Sp13      	Inversion      	I              	431-661             	Inverted
Sp13      	RCT            	F, G           	F:419|G:44          	Swapped tails; pairing=AL-BR/BL-AR
Anc2      	Inversion      	S              	375-438             	Inverted
Anc2      	RCT            	O, I           	O:774|I:483         	Swapped tails; pairing=AL-BR/BL-AR
Anc2      	EEJ            	K, M           	End-End             	Fused; mode=TT
Anc5      	RCT            	B, T           	B:509|T:394         	Swapped tails; pairing=AL-BR/BL-AR
Anc5      	NCF            	S, D           	S:635               	Inserted donor=D into recipient=S; donor_orient=HT
Sp12      	Inversion      	J              	57-252              	Inverted
Sp12      	RCT            	L, E           	L:192|E:937         	Swapped tails; pairing=AL-BR/BL-AR
Sp12      	NCF            	I, N           	I:69                	Inserted donor=N into recipient=I; donor_orient=HT
Anc7      	Inversion      	Q              	173-255             	Inverted
Anc7      	RCT            	F, N           	F:607|N:311         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Anc7      	NCF            	J, I           	J:151               	Inserted donor=I into recipient=J; donor_orient=TH
Sp11      	RCT            	C, T           	C:656|T:110         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
