Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp4(8)	396	Shared (Strict)	yes	Sp4(8)
Root	Sp4(9)	129	Shared (Strict)	yes	Sp4(9)
Root	Sp2(9)	330	Shared (Strict)	yes	Sp2(9)
Root	Sp4(11)	219	Shared (Strict)	yes	Sp4(11)
Root	Sp4(16)	893	Shared (Strict)	yes	Sp4(16)
Root	Sp6(12)	109	Shared (Strict)	yes	Sp6(12)
Root	Sp5(19)	410	Shared (Strict)	yes	Sp5(19)
Root	Sp6(2)	632	Shared (Strict)	yes	Sp6(2)
Root	Sp5(6)	219	Shared (Strict)	yes	Sp5(6)
Root	Sp6(18)	749	Shared (Strict)	yes	Sp6(18)
Root	Sp4(4)	818	Nested (Strict)	yes	Sp4(4)
Root	Sp4(15)	260	Nested (Strict)	yes	Sp4(15)
Root	Sp10(17)	805	Nested (Strict)	yes	Sp10(17)
Root	Sp6(8)	330	Nested (Strict)	yes	Sp6(8)
Root	Sp6(6)	280	Nested (Strict)	yes	Sp6(6)
Root	Sp11(18)	810	Isolated-Outgroup-Validated	yes	Sp11(18)
Root	Sp4(5)	982	Outgroup-Arbitrated-Nested	yes	Sp4(5)
Root	Sp4(14)	202	RCT-Residual-Validated	yes	Sp4(14)
Root	Sp1(1)	518	Root-Anchored-Residual	yes	Sp1(1)
Root	Sp4(7)	488	Fusion-Outgroup-Rejected-RCT	yes	Sp4(7)
Root	Sp11(2):1-550+Sp11(15):1-76	626	RCT-Residual-Validated	yes	Sp11(2):1-550+Sp11(15):1-76
Root	Sp6(3)	654	Root-Anchored-Residual	yes	Sp6(3)
Root	Sp4(12)	682	Cleaned-Merge	yes	Sp4(12)
Anc1	Sp4(4)	818	Shared (Strict)	yes	Sp4(4)
Anc1	Sp4(5)	982	Shared (Strict)	yes	Sp4(5)
Anc1	Sp4(6)	1085	Shared (Strict)	no	
Anc1	Sp4(7)	488	Shared (Strict)	yes	Sp4(7)
Anc1	Sp4(8)	396	Shared (Strict)	yes	Sp4(8)
Anc1	Sp4(9)	129	Shared (Strict)	yes	Sp4(9)
Anc1	Sp2(9)	330	Shared (Strict)	yes	Sp2(9)
Anc1	Sp4(11)	219	Shared (Strict)	yes	Sp4(11)
Anc1	Sp4(12)	682	Shared (Strict)	yes	Sp4(12)
Anc1	Sp4(14)	202	Shared (Strict)	yes	Sp4(14)
Anc1	Sp4(15)	260	Shared (Strict)	yes	Sp4(15)
Anc1	Sp4(16)	893	Shared (Strict)	yes	Sp4(16)
Anc1	Sp4(17)	904	Shared (Strict)	no	
Anc1	Sp1(1)	518	Shared (Strict)	yes	Sp1(1)
Anc1	Sp6(12)	109	Shared (Strict)	yes	Sp6(12)
Anc1	Sp5(19)	410	Shared (Strict)	yes	Sp5(19)
Anc1	Sp6(2)	632	Shared (Strict)	yes	Sp6(2)
Anc1	Sp12(38)	1140	Nested (Strict)	no	
Anc1	Sp4(3)	376	Cleaned-Merge	no	
Anc3	Sp4(3)	376	Shared (Strict)	no	
Anc3	Sp4(4)	818	Shared (Strict)	yes	Sp4(4)
Anc3	Sp4(5)	982	Shared (Strict)	yes	Sp4(5)
Anc3	Sp4(6)	1085	Shared (Strict)	no	
Anc3	Sp4(7)	488	Shared (Strict)	yes	Sp4(7)
Anc3	Sp4(8)	396	Shared (Strict)	yes	Sp4(8)
Anc3	Sp4(9)	129	Shared (Strict)	yes	Sp4(9)
Anc3	Sp2(9)	330	Shared (Strict)	yes	Sp2(9)
Anc3	Sp4(11)	219	Shared (Strict)	yes	Sp4(11)
Anc3	Sp4(12)	682	Shared (Strict)	yes	Sp4(12)
Anc3	Sp4(14)	202	Shared (Strict)	yes	Sp4(14)
Anc3	Sp4(15)	260	Shared (Strict)	yes	Sp4(15)
Anc3	Sp4(16)	893	Shared (Strict)	yes	Sp4(16)
Anc3	Sp4(17)	904	Shared (Strict)	no	
Anc3	Sp5(6)	219	Shared (Strict)	yes	Sp5(6)
Anc3	Sp1(1)	518	Shared (Strict)	yes	Sp1(1)
Anc3	Sp6(12)	109	Shared (Strict)	yes	Sp6(12)
Anc3	Sp5(19)	410	Shared (Strict)	yes	Sp5(19)
Anc3	Sp4(19)	1889	Nested (Strict)	no	
Anc7	Sp6(2)	632	Shared (Strict)	yes	Sp6(2)
Anc7	Sp4(3)	376	Shared (Strict)	no	
Anc7	Sp4(4)	818	Shared (Strict)	yes	Sp4(4)
Anc7	Sp4(5)	982	Shared (Strict)	yes	Sp4(5)
Anc7	Sp4(6)	1085	Shared (Strict)	no	
Anc7	Sp4(7)	488	Shared (Strict)	yes	Sp4(7)
Anc7	Sp4(8)	396	Shared (Strict)	yes	Sp4(8)
Anc7	Sp4(9)	129	Shared (Strict)	yes	Sp4(9)
Anc7	Sp2(9)	330	Shared (Strict)	yes	Sp2(9)
Anc7	Sp4(11)	219	Shared (Strict)	yes	Sp4(11)
Anc7	Sp4(12)	682	Shared (Strict)	yes	Sp4(12)
Anc7	Sp4(14)	202	Shared (Strict)	yes	Sp4(14)
