Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp8(4)	183	Shared (Strict)	yes	Sp8(4)
Root	Sp8(6)	122	Shared (Strict)	yes	Sp8(6)
Root	Sp8(11)	220	Shared (Strict)	yes	Sp8(11)
Root	Sp9(8)	217	Shared (Strict)	yes	Sp9(8)
Root	Sp3(7)	446	Shared (Strict)	yes	Sp3(7)
Root	Sp9(2)	599	Shared (Strict)	yes	Sp9(2)
Root	Sp6(4)	363	Shared (Strict)	yes	Sp6(4)
Root	Sp3(18)	861	Shared (Strict)	yes	Sp3(18)
Root	Sp7(9)	174	Shared (Strict)	yes	Sp7(9)
Root	Sp7(12)	390	Shared (Strict)	yes	Sp7(12)
Root	Sp6(15)	418	Shared (Strict)	yes	Sp6(15)
Root	Sp6(10)	595	Shared (Strict)	yes	Sp6(10)
Root	Sp6(16)	975	Nested (Strict)	yes	Sp6(16)
Root	Sp6(6)	410	Nested (Strict)	yes	Sp6(6)
Root	Sp8(10)	927	Fusion-Outgroup-Validated	yes	Sp8(10)
Root	Sp6(2)	527	Fusion-Outgroup-Rejected-RCT	yes	Sp6(2)
Root	Sp6(19)	136	Fusion-Outgroup-Rejected-RCT	yes	Sp6(19)
Root	Sp11(1)	378	Fusion-Outgroup-Validated	yes	Sp11(1)
Root	Sp6(18)	764	Outgroup-Arbitrated-Nested	yes	Sp6(18)
Root	Sp6(11)	111	RCT-Residual-Validated	yes	Sp6(11)
Anc1	Sp8(4)	183	Shared (Strict)	yes	Sp8(4)
Anc1	Sp8(6)	122	Shared (Strict)	yes	Sp8(6)
Anc1	Sp8(10)	927	Shared (Strict)	yes	Sp8(10)
Anc1	Sp8(11)	220	Shared (Strict)	yes	Sp8(11)
Anc1	Sp9(8)	217	Shared (Strict)	yes	Sp9(8)
Anc1	Sp3(7)	446	Shared (Strict)	yes	Sp3(7)
Anc1	Sp9(2)	599	Shared (Strict)	yes	Sp9(2)
Anc1	Sp8(13)	401	Shared (Strict)	no	
Anc1	Sp6(4)	363	Shared (Strict)	yes	Sp6(4)
Anc1	Sp8(2)	262	Shared (Strict)	no	
Anc1	Sp3(18)	861	Shared (Strict)	yes	Sp3(18)
Anc1	Sp7(9)	174	Shared (Strict)	yes	Sp7(9)
Anc1	Sp7(12)	390	Shared (Strict)	yes	Sp7(12)
Anc1	Sp6(15)	418	Shared (Strict)	yes	Sp6(15)
Anc1	Sp11(17)	1739	Nested (Strict)	no	
Anc3	Sp8(4)	183	Shared (Strict)	yes	Sp8(4)
Anc3	Sp8(6)	122	Shared (Strict)	yes	Sp8(6)
Anc3	Sp8(10)	927	Shared (Strict)	yes	Sp8(10)
Anc3	Sp8(11)	220	Shared (Strict)	yes	Sp8(11)
Anc3	Sp9(8)	217	Shared (Strict)	yes	Sp9(8)
Anc3	Sp3(7)	446	Shared (Strict)	yes	Sp3(7)
Anc3	Sp9(2)	599	Shared (Strict)	yes	Sp9(2)
Anc3	Sp9(7)	2334	Nested (Strict)	no	
Anc3	Sp8(13)	401	Nested (Strict)	no	
Anc3	Sp6(4)	363	Nested (Strict)	yes	Sp6(4)
Anc6	Sp8(1)	1262	Shared (Strict)	no	
Anc6	Sp8(4)	183	Shared (Strict)	yes	Sp8(4)
Anc6	Sp8(6)	122	Shared (Strict)	yes	Sp8(6)
Anc6	Sp8(9)	279	Shared (Strict)	no	
